Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount_capped,Amount_minmax,Boxes_minmax,Amount_z,Boxes_z,PC1,PC2
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320.0,180,5320.0,0.3167958600093823,0.23037323037323035,-0.14226605297770412,0.12364763398880693,0.188029371264332,-0.01316521032201968
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94,7896.0,0.47039385274120404,0.11969111969111967,0.480278831475218,-0.5698680941794004,-0.7425660123725836,-0.06334917517962219
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91,4501.0,0.2679617155810586,0.11583011583011582,-0.3401947254803995,-0.5940605033015472,-0.17951021300853598,-0.6606182076307026
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342,12726.0,0.7583900891133697,0.4388674388674389,1.6475504898244469,1.4300377265847326,-0.15380474988141069,2.176183497522744
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184,13685.0,0.8155719505379881,0.2355212355212355,1.8793131234387142,0.15590417948500263,-1.2186341510272063,1.439115956085565
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38,5376.0,0.32013494680790017,0.047619047619047616,-0.12873246853307538,-1.0214597311261402,-0.6312535011296658,-0.8133087040468983
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176,13685.0,0.8155719505379881,0.2252252252252252,1.8793131234387142,0.09139108849261124,-1.2642517951432313,1.3934983119695405
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73,3080.0,0.18323238806866776,0.09266409266409266,-0.6836094307628537,-0.7392149580344278,-0.03931904540519085,-1.0060887737561623
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59,3990.0,0.23749254854458304,0.07464607464607463,-0.4636886835376367,-0.8521128672711128,-0.27465737429479714,-0.9304121992726402
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835.0,102,2835.0,0.1686238833251521,0.12998712998712997,-0.7428188627081045,-0.5053550031870091,0.1679123053540898,-0.8825922046742644
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62,4704.0,0.2800659052256858,0.0785070785070785,-0.29113548186862026,-0.827920458148966,-0.37956429676689823,-0.7912920437135187
Barr Faughny,USA,Orange Choco,2022-03-10,3703.0,11,3703.0,0.22037972870217898,0.01287001287001287,-0.533048303816359,-1.2391914132254611,-0.4993185811513395,-1.2531627218083958
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286,1442.0,0.08556409921202024,0.3667953667953668,-1.0794667757682443,0.9784460896379928,1.4551641422197883,-0.071432412202829
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156,168.0,0.009599874545738856,0.19948519948519947,-1.3873558218835482,-0.06989163898836723,0.9315878576955687,-1.030429561449416
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173,8379.0,0.4991934763784206,0.22136422136422135,0.5970059973101409,0.06719867937046446,-0.37463034723739924,0.469663630976677
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356,6790.0,0.4044468884704762,0.4568854568854569,0.21299053869380036,1.5429356358214175,0.9404131967847483,1.241627305262657
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42,4067.0,0.24208379289254509,0.05276705276705276,-0.4450800049262722,-0.9892031856299445,-0.38475319087636717,-1.0141913701841752
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017.0,140,3017.0,0.17947591542033514,0.17889317889317888,-0.6988347132630611,-0.19891782097315,0.3534946245678963,-0.6348069047858356
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250,8799.0,0.5242366273673045,0.3204633204633205,0.6985078806448565,0.6881371801722316,-0.007333192629840743,0.9805061256025955
